rowid,FSCL_YR,MINC,MINE,MINF,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,DEPT_FR_DESC,RCPNT_CLS_EN_DESC,RCPNT_CLS_FR_DESC,RCPNT_NML_EN_DESC,RCPNT_NML_FR_DESC,CTY_EN_NM,CTY_FR_NM,PROVTER_EN,PROVTER_FR,CNTRY_EN_NM,CNTRY_FR_NM,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
47,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,La Frenz Estate Winery Ltd,La Frenz Estate Winery Ltd,Penticton,Penticton,British Columbia,Colombie-Britannique,,,0,160802
48,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Lake Breeze Vineyards Limited,Lake Breeze Vineyards Limited,Penticton,Penticton,British Columbia,Colombie-Britannique,,,0,101083
49,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Lakeside Cellars Ltd,Lakeside Cellars Ltd,Osoyoos,Osoyoos,British Columbia,Colombie-Britannique,,,0,137953
50,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Lightfoot & Wolfville Vineyards,Lightfoot & Wolfville Vineyards,Kentville,Kentville,Nova Scotia,Nouvelle-Écosse,,,0,157969
51,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Luckett Farms Limited,Luckett Farms Limited,Kentville,Kentville,Nova Scotia,Nouvelle-Écosse,,,0,236748
52,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Maan Farms Ltd,Maan Farms Ltd,Abbotsford,Abbotsford,British Columbia,Colombie-Britannique,,,0,137988
53,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Magnotta Winery Estates Limited,Magnotta Winery Estates Limited,Woodbridge,Woodbridge,Ontario,Ontario,,,0,1246174
54,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Mark Anthony Group Inc,Mark Anthony Group Inc,Vancouver,Vancouver,British Columbia,Colombie-Britannique,,,0,3504646
55,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Marynissen Estates Limited,Marynissen Estates Limited,St Catharines,St Catharines,Ontario,Ontario,,,0,101317
56,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Mcconell Gordon Estates Limited,Mcconell Gordon Estates Limited,Halifax,Halifax,Nova Scotia,Nouvelle-Écosse,,,0,347718
