title,award_summary,application_id,competition_year,fiscal_year,project_lead_name,institution,department,province,award_amount,installment,program,selection_committee,research_subject,area_of_application,co-researchers,partners,external_id,source_url
No title - Aucun titre,No summary - Aucun sommaire,91846-1990,1990,1991-1992,"Summers, James",University of Waterloo,Computer Science,Ontario,5019.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Computer hardware,Not available,No Co-Researcher,No Partners,100803,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100803
No title - Aucun titre,No summary - Aucun sommaire,115488-1991,1991,1991-1992,"Summers, Patricia",University of Victoria,Biology,British Columbia,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Aquatic ecology and limnology,Not available,No Co-Researcher,No Partners,100804,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100804
"Ovule development, embryogenesis, and embryo sac nutrition in brassica",No summary - Aucun sommaire,36735-1991,1991,1991-1992,"Sumner, Michael",University of Manitoba,Botany,Manitoba,18000.0,1-3,Discovery Grants Program - Individual,Plant Biology & Food Science,Animal biology,Life sciences (including biotechnology),No Co-Researcher,No Partners,100805,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100805
No title - Aucun titre,No summary - Aucun sommaire,120071-1991,1991,1991-1992,"Sun, Anna",The University of British Columbia,Botany,British Columbia,3080.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Plant and tree biology,Not available,No Co-Researcher,No Partners,100806,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100806
No title - Aucun titre,No summary - Aucun sommaire,119944-1991,1991,1991-1992,"Sun, John",Simon Fraser University,Kinesiology (School),British Columbia,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Kinesiology,Not available,No Co-Researcher,No Partners,100807,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100807
No title - Aucun titre,No summary - Aucun sommaire,119240-1991,1991,1991-1992,"Sun, Meng",University of Toronto,Mathematics,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Pure mathematics,Not available,No Co-Researcher,No Partners,100808,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100808
No title - Aucun titre,No summary - Aucun sommaire,119316-1991,1991,1991-1992,"Sundaralingam, Pathanchal",University of Toronto,Electrical Engineering,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Eng/Comp Science (H),Computer hardware,Not available,No Co-Researcher,No Partners,100809,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100809
High precision metal turning via robust and optimal control,No summary - Aucun sommaire,155380-1994,1994,1996-1997,"Pieper, Jeff",University of Calgary,Mechanical Engineering,Alberta,16000.0,3-4,Discovery Grants Program - Individual,Mechanical Engineering,Mechanical systems and instrumentation,Production and operations management,No Co-Researcher,No Partners,10081,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10081
Theoretical investigations in nuclear and elementary particle physics,No summary - Aucun sommaire,1574-1989,1989,1991-1992,"Sundaresan, Mosur",Carleton University,Physics,Ontario,19605.0,3-3,Discovery Grants Program - Individual,Physics (H),Theoretical physics and chemistry,Not available,No Co-Researcher,No Partners,100810,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100810
Acoustic current probe for sediment-water exchange studies,No summary - Aucun sommaire,124368-1992,1992,1991-1992,"Sundby, Bjorn",Institut national de la recherche scientifique,INRS - Océanographie,Québec,20417.0,1-1,"Research Tools and Instruments - Category 1 (<$150,000)",Environmental Earth Sciences,Not available,"Oceans, seas and estuaries",No Co-Researcher,No Partners,100811,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100811
No title - Aucun titre,No summary - Aucun sommaire,113592-1991,1991,1991-1992,"Surat, David",University of Toronto,Electrical Engineering,Ontario,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Information systems design,Not available,No Co-Researcher,No Partners,100812,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100812
Intelligent multivariable control and the problem of force directed manipulators,No summary - Aucun sommaire,5493-1990,1990,1991-1992,"Surgenor, Brian",Queen's University,Mechanical Engineering,Ontario,15000.0,2-3,Discovery Grants Program - Individual,Mechanical Engineering,Mechanical systems and instrumentation,Production and operations management,No Co-Researcher,No Partners,100813,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100813
Unsteady wind loads on low buildings,No summary - Aucun sommaire,8919-1991,1991,1991-1992,"Surry, David",The University of Western Ontario,Civil Engineering,Ontario,19000.0,1-3,Discovery Grants Program - Individual,Civil Engineering,Structural loads and safety,Structural engineering,No Co-Researcher,No Partners,100814,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100814
No title - Aucun titre,No summary - Aucun sommaire,117556-1991,1991,1991-1992,"Susko, David",University of Windsor,Biological Sciences,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Scholarships & Fellowships,Other studies in natural sciences and engineering,Not available,No Co-Researcher,No Partners,100815,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100815
No title - Aucun titre,No summary - Aucun sommaire,98718-1990,1990,1991-1992,"Susko, Edward",The University of British Columbia,Statistics,British Columbia,5019.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Statistics and probability,Not available,No Co-Researcher,No Partners,100816,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100816
No title - Aucun titre,No summary - Aucun sommaire,109338-1991,1991,1991-1992,"Susko, Edward",The University of British Columbia,Statistics,British Columbia,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Statistics and probability,Not available,No Co-Researcher,No Partners,100817,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100817
"Physiological, behavioral and anatomical studies of host location and blood feeding in biting flies (Inspecta: Diptera)",No summary - Aucun sommaire,99008-1990,1990,1991-1992,"Sutcliffe, James",Trent University,Biology,Ontario,13660.0,2-3,Discovery Grants Program - Individual,Animal Biology (H),Animal biology,"Animal management (animal diseases, breeding)",No Co-Researcher,No Partners,100818,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100818
Archean plutonic rocks in the southern superior province:testing the arc accretion hypothesis,No summary - Aucun sommaire,105374-1991,1991,1991-1992,"Sutcliffe, Richard",The University of Western Ontario,Geology,Ontario,22000.0,1-3,Discovery Grants Program - Individual,Solid Earth Sciences,"Petrology, igneous and metamorphic geology","Land, solid earth, seabeds and ocean floors",No Co-Researcher,No Partners,100819,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100819
No title - Aucun titre,No summary - Aucun sommaire,184446-1995,1995,1996-1997,"Pierce, Charles",Simon Fraser University,Kinesiology,British Columbia,15600.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Kinesiology,Not available,No Co-Researcher,No Partners,10082,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10082
Serviceability and strength design of masonry structures,No summary - Aucun sommaire,4785-1989,1989,1991-1992,"Suter, Gerhard",Carleton University,Civil Engineering,Ontario,27000.0,3-3,Discovery Grants Program - Individual,Civil Engineering,Other studies in natural sciences and engineering,Materials performance,No Co-Researcher,No Partners,100820,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100820
No title - Aucun titre,No summary - Aucun sommaire,112509-1991,1991,1991-1992,"Sutharshan, Balendra",University of Toronto,Chemical Engineering,Ontario,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Nuclear engineering,Not available,No Co-Researcher,No Partners,100821,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100821
No title - Aucun titre,No summary - Aucun sommaire,91171-1990,1990,1991-1992,"Sutherland, Bruce",University of Toronto,Physics,Ontario,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Particle physics,Not available,No Co-Researcher,No Partners,100822,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100822
No title - Aucun titre,No summary - Aucun sommaire,119529-1991,1991,1991-1992,"Sutherland, Claire",University of Guelph,Chemistry & Biochemistry,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Biochemistry,Not available,No Co-Researcher,No Partners,100823,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100823
No title - Aucun titre,No summary - Aucun sommaire,94887-1990,1990,1991-1992,"Sutherland, Mark",University of Guelph,Physics,Ontario,9704.0,Not available,Postdoctoral Fellowships,Schol/Fellow: Maths/Phys Sc (H),Particle physics,Not available,No Co-Researcher,No Partners,100824,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100824
No title - Aucun titre,No summary - Aucun sommaire,108532-1991,1991,1991-1992,"Sutherland, Mark",University of Guelph,Physics,Ontario,19296.0,Not available,Postdoctoral Fellowships,Schol/Fellow: Maths/Phys Sc (H),Particle physics,Not available,No Co-Researcher,No Partners,100825,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100825
Theoretical astrophysics - supernovae,No summary - Aucun sommaire,622-1990,1990,1991-1992,"Sutherland, Peter",McMaster University,Physics,Ontario,33000.0,2-3,Discovery Grants Program - Individual,Space & Astronomy,Astronomy and astrophysics,Physical sciences,No Co-Researcher,No Partners,100826,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100826
"Hippocampus, LTP and space",No summary - Aucun sommaire,8318-1991,1991,1991-1992,"Sutherland, Robert",University of Lethbridge,Psychology,Alberta,45000.0,1-2,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Behavioural neuroscience,Psychology,No Co-Researcher,No Partners,100827,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100827
No title - Aucun titre,No summary - Aucun sommaire,114013-1991,1991,1991-1992,"Sutherland, TerriAnn",Dalhousie University,Oceanography,Nova Scotia,12193.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Aquatic ecology and limnology,Not available,No Co-Researcher,No Partners,100828,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100828
Algorithms for multi-stage optimization,No summary - Aucun sommaire,7751-1991,1991,1991-1992,"Sutherland, Richard",Dalhousie University,Math. Stats. & Computer Sc,Nova Scotia,8000.0,1-3,Discovery Grants Program - Individual,Pure & Applied Mathematics (H),Mathematics of computing,Not available,No Co-Researcher,No Partners,100829,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100829
No title - Aucun titre,No summary - Aucun sommaire,189934-1996,1996,1996-1997,"Piercey, Stephen",Memorial University of Newfoundland,Earth Sciences,Newfoundland and Labrador,10380.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Economic geology,Not available,No Co-Researcher,No Partners,10083,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10083
1. Linear model with asymmetric errors. 2. Analysis of seasonal time series. 3. Estimation of the parameters of branching process with immigration,No summary - Aucun sommaire,8787-1991,1991,1991-1992,"Sutradhar, Brajendra",Memorial University of Newfoundland,Mathematics & Statistics,Newfoundland and Labrador,15240.0,1-3,Discovery Grants Program - Individual,Statistical Sciences,Statistical theory,Mathematical sciences,No Co-Researcher,No Partners,100830,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100830
"Synthesis, structure & dynamics of organometallic compounds of rheniumand iridium",No summary - Aucun sommaire,3791-1990,1990,1991-1992,"Sutton, Derek",Simon Fraser University,Chemistry,British Columbia,38000.0,2-3,Discovery Grants Program - Individual,Inorganic & Organic Chemistry,Inorganic chemistry,Physical sciences,No Co-Researcher,No Partners,100831,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100831
Nitrogen-14 NMR variable temperature probe,No summary - Aucun sommaire,107223-1991,1991,1991-1992,"Sutton, Derek",Simon Fraser University,Chemistry,British Columbia,19917.0,1-1,"Research Tools and Instruments - Category 1 (<$150,000)",Inorganic & Organic Chemistry,Metal and organometallic chemistry,Physical sciences,No Co-Researcher,No Partners,100832,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100832
X-ray diffraction studies of materials,No summary - Aucun sommaire,9985-1991,1991,1991-1992,"Sutton, DMark",McGill University,Physics,Québec,38000.0,1-3,Discovery Grants Program - Individual,Condensed Matter Physics,Condensed matterphysics,Physical sciences,No Co-Researcher,No Partners,100833,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100833
Biological control of Botrytis cinerea in economic hosts,No summary - Aucun sommaire,6119-1991,1991,1991-1992,"Sutton, John",University of Guelph,Environmental Biology,Ontario,45317.0,1-3,Discovery Grants Program - Individual,Plant Biology & Food Science,Not available,"Crop management (pest,disease control and breeding)",No Co-Researcher,No Partners,100834,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100834
No title - Aucun titre,No summary - Aucun sommaire,119572-1991,1991,1991-1992,"Sutton, Paul",McMaster University,Materials Science & Engineering,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Eng/Comp Science (H),Materials processing,Not available,No Co-Researcher,No Partners,100835,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100835
Mechanism of sulfur and iron oxidation by autotrophic bacteria,No summary - Aucun sommaire,3461-1989,1989,1991-1992,"Suzuki, Isamu",University of Manitoba,Microbiology,Manitoba,25922.0,3-3,Discovery Grants Program - Individual,Cell Biology & Genetics (H),Microbiology,Life sciences (including biotechnology),No Co-Researcher,No Partners,100836,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100836
No title - Aucun titre,No summary - Aucun sommaire,110677-1991,1991,1991-1992,"Suzuki, Natalie",The University of British Columbia,Geography,British Columbia,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Atmospheric science,Not available,No Co-Researcher,No Partners,100837,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100837
No title - Aucun titre,No summary - Aucun sommaire,117108-1991,1991,1991-1992,"Svard, Lena",Université Laval,Biologie,Québec,27923.0,Not available,Canada International Fellowships (H),Schol/Fellow: Life Sciences (H),Animal biology,Not available,No Co-Researcher,No Partners,100839,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100839
